Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
19/09/2020,17:30 (21:30),Premier League,Matchweek 2,Sat,Home,L,1,3,Crystal Palace,1.1,1.6,75,,Harry Maguire,4-2-3-1,Martin Atkinson,Match Report,
22/09/2020,20:15 (00:15),EFL Cup,Third round,Tue,Away,W,3,0,Luton Town,,,58,,Harry Maguire,4-2-3-1,Tim Robinson,Match Report,
26/09/2020,12:30 (16:30),Premier League,Matchweek 3,Sat,Away,W,3,2,Brighton,1.1,2.4,46,,Harry Maguire,4-2-3-1,Chris Kavanagh,Match Report,
30/09/2020,19:45 (23:45),EFL Cup,Fourth round,Wed,Away,W,3,0,Brighton,,,49,,Juan Mata,4-2-3-1,Graham Scott,Match Report,
04/10/2020,16:30 (20:30),Premier League,Matchweek 4,Sun,Home,L,1,6,Tottenham,0.9,3.8,38,,Harry Maguire,4-2-3-1,Anthony Taylor,Match Report,
17/10/2020,20:00 (00:00),Premier League,Matchweek 5,Sat,Away,W,4,1,Newcastle Utd,2.7,0.5,63,,Harry Maguire,4-2-3-1,Craig Pawson,Match Report,
20/10/2020,21:00 (00:00),Champions Lg,Group stage,Tue,Away,W,2,1,PSG,1.6,0.9,40,,Bruno Fernandes,3-4-1-2,Antonio Matéu Lahoz,Match Report,
24/10/2020,17:30 (21:30),Premier League,Matchweek 6,Sat,Home,D,0,0,Chelsea,0.7,0.2,50,,Harry Maguire,4-2-3-1,Martin Atkinson,Match Report,
28/10/2020,20:00 (01:00),Champions Lg,Group stage,Wed,Home,W,5,0,RB Leipzig,2.2,0.5,46,577,Harry Maguire,4-4-2,Matej Jug,Match Report,
01/11/2020,16:30 (21:30),Premier League,Matchweek 7,Sun,Home,L,0,1,Arsenal,0.3,1.1,53,,Harry Maguire,4-4-2,Mike Dean,Match Report,
04/11/2020,20:55 (22:55),Champions Lg,Group stage,Wed,Away,L,1,2,Istanbul Basaksehir,0.7,0.8,68,350,Harry Maguire,4-2-3-1,Davide Massa,Match Report,
07/11/2020,12:30 (17:30),Premier League,Matchweek 8,Sat,Away,W,3,1,Everton,1.6,0.6,45,,Harry Maguire,4-2-3-1,Paul Tierney,Match Report,
21/11/2020,20:00 (01:00),Premier League,Matchweek 9,Sat,Home,W,1,0,West Brom,2.5,0.6,62,,Harry Maguire,4-2-3-1,David Coote,Match Report,
24/11/2020,20:00 (01:00),Champions Lg,Group stage,Tue,Home,W,4,1,Istanbul Basaksehir,3.8,1,52,545,Harry Maguire,4-2-3-1,Ovidiu Hațegan,Match Report,
29/11/2020,14:00 (19:00),Premier League,Matchweek 10,Sun,Away,W,3,2,Southampton,2.3,0.4,50,,Harry Maguire,4-4-2,Jonathan Moss,Match Report,
02/12/2020,20:00 (01:00),Champions Lg,Group stage,Wed,Home,L,1,3,PSG,1.3,2.9,44,,Harry Maguire,4-2-3-1,Daniele Orsato,Match Report,
05/12/2020,17:30 (22:30),Premier League,Matchweek 11,Sat,Away,W,3,1,West Ham,1.9,2.2,60,"2,000",Harry Maguire,4-2-3-1,Andre Marriner,Match Report,
08/12/2020,21:00 (01:00),Champions Lg,Group stage,Tue,Away,L,2,3,RB Leipzig,1.8,1.3,55,,Harry Maguire,3-4-1-2,Antonio Matéu Lahoz,Match Report,
12/12/2020,17:30 (22:30),Premier League,Matchweek 12,Sat,Home,D,0,0,Manchester City,1,1.2,46,,Harry Maguire,4-2-3-1,Chris Kavanagh,Match Report,
17/12/2020,20:00 (01:00),Premier League,Matchweek 13,Thu,Away,W,3,2,Sheffield Utd,2,1.6,59,,Harry Maguire,4-2-3-1,Michael Oliver,Match Report,
20/12/2020,16:30 (21:30),Premier League,Matchweek 14,Sun,Home,W,6,2,Leeds United,4,1.7,41,,Harry Maguire,4-2-3-1,Anthony Taylor,Match Report,
23/12/2020,20:00 (01:00),EFL Cup,Quarter-finals,Wed,Away,W,2,0,Everton,,,65,"2,000",Harry Maguire,4-2-3-1,Andy Madley,Match Report,
26/12/2020,12:30 (17:30),Premier League,Matchweek 15,Sat,Away,D,2,2,Leicester City,2.2,1.2,46,,Harry Maguire,4-2-3-1,Mike Dean,Match Report,
29/12/2020,20:00 (01:00),Premier League,Matchweek 16,Tue,Home,W,1,0,Wolves,1.3,0.4,58,,Harry Maguire,4-2-3-1,Jonathan Moss,Match Report,
01/01/2021,20:00 (01:00),Premier League,Matchweek 17,Fri,Home,W,2,1,Aston Villa,1.9,1.6,47,,Harry Maguire,4-4-2,Michael Oliver,Match Report,
06/01/2021,19:45 (00:45),EFL Cup,Semi-finals,Wed,Home,L,0,2,Manchester City,,,40,,Harry Maguire,4-3-1-2,Martin Atkinson,Match Report,
